Date,Trade Tags,Outcome,Outcome tags,pts win/loss,Outlined in plan?,According or against plan?,Larger SL = win?,TypeOfDay
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/28/24,"ONLF,absorption,vpzone",win,patient,23.5,Y,According,,Range
4/1/24,"openrungap,openingdrive",loss,,-7.5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone",loss,"fomo,hopium",-7.5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression",win,patient,5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression",loss,"patient,unluckySL",-7.5,Y,According,Y (10),"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression,exhaustion",win,patient,25,Y,According,,"Volatile,Trend"
4/2/24,"absorption,vpzone,breakout",loss,fomo,-7.5,Y,According,,LargeGapDown
4/2/24,"vpzone,breakout",loss,fomo,-3.5,N,N/A,,LargeGapDown
4/2/24,"absorption,vpzone,breakout",loss,"fomo,unluckySL",-7.5,Y,According,Y (10),LargeGapDown
4/2/24,"absorption,vpzone,breakout",loss,patient,30,Y,According,,LargeGapDown
4/3/24,"stoprunreversal,vpzone",win,"patient,scaredexit",2.5,Y,According,,LargeGapDown
4/3/24,breakout,loss,"fomo,missedtrade",3.5,N,N/A,,LargeGapDown
4/3/24,"rebid,vpzone,tapeweakness",win,patient,10,N,N/A,Y (10),LargeGapDown
4/4/24,"openinventorycorrect,vpzone,openingdrive",loss,tapereadmistake,-7.5,Y,N/A,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,Y,According,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,N,N/A,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,N,N/A,,"LargeGapUp,Volatile,Range"
4/8/24,reoffer,loss,,-2,N,N/A,,ChoppyTightRange
4/8/24,reoffer,loss,,-2,N,N/A,,ChoppyTightRange
4/8/24,"breakout,exhaustion",win,patient,35,N,N/A,,ChoppyTightRange
4/8/24,"vpzone,absorption,stoprunreversal",win,"patient,scaredexit",10,Y,According,,ChoppyTightRange
4/9/24,"vpzone,ONHF",loss,,-10,Y,According,,Trend
4/9/24,"vpzone,absorption,ONHF",win,patient,30,Y,According,,Trend
4/10/24,"rebid,unfinishedauction",win,"patient,scaredexit,cutrunners",20,N,N/A,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"rebid,exhaustion,tapeweakness",win,"patient,scaredexit,norunners",5,N,N/A,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"reoffer,vpzone",loss,"patient,stoplossrun",-10,Y,According,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"rebid,vpzone",win,"patient,scaredexit,norunners",20,Y,According,,"Volatile,ChoppyTightRange,LargeGapDown"
4/11/24,"rebid,vpzone",win,patient,5,Y,According,,ChoppyTightRange
4/11/24,rebid,loss,unluckySL,-10,Y,According,,ChoppyTightRange
4/11/24,"reoffer,vpzone",loss,fomo,-10,N,N/A,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",10,Y,According,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",5,Y,According,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",2,Y,According,,ChoppyTightRange
4/11/24,"rebid,vpzone",win,patient,15,Y,According,,ChoppyTightRange
4/11/24,"rebid,vpzone",loss,fomo,-1,N,N/A,,ChoppyTightRange
4/12/24,openingdrive,win,patient,10,Y,According,,"Grind,Volatile"
4/12/24,"reoffer,absorption,vpzone",win,"patient,goodexit",10,Y,According,,"Grind,Volatile"
4/12/24,"reoffer,absorption,vpzone",win,"patient,goodexit",10,Y,According,,"Grind,Volatile"
4/15/24,openingdrive,loss,fomo,-10,Y,According,Y (15),"LargeGapUp,Range"
4/15/24,openingdrive,win,"fomo,scaredexit,norunners",10,Y,According,,"LargeGapUp,Range"
4/15/24,"aggression,tapeweakness",loss,fomo,-10,Y,According,Y (15),"LargeGapUp,Range"
4/15/24,"aggression,tapeweakness",win,fomo,30,Y,According,,"LargeGapUp,Range"
4/15/24,"absorption,reoffer",loss,"fomo,hopium",-10,Y,According,Y (20),"LargeGapUp,Range"
4/15/24,rebid,loss,fomo,-10,Y,According,,"LargeGapUp,Range"
4/15/24,"reoffer,exhaustion,tapeweakness",win,"patient,goodexit",40,Y,According,,"LargeGapUp,Range"
4/16/24,"vpzone,tapeweakness",win,"patient,goodexit",20,Y,According,,Range
4/16/24,rebid,loss,patient,-10,N,N/A,,Range
4/16/24,rebid,loss,contextmistake,-10,N,N/A,,Range
4/16/24,"rebid,absorption",loss,N/A,-10,N,N/A,,Range
4/16/24,"""N/A""",loss,tapereadmistake,-10,N,N/A,,Range
4/16/24,"""N/A""",loss,contextmistake,-10,Y,N/A,,Range
4/17/24,rebid,loss,"fomo,unluckySL",-10,Y,Against,Y (15),Trend
4/17/24,rebid,loss,"fomo,unluckySL",-10,Y,Against,Y(15),Trend
4/17/24,"""N/A""",loss,N/A,-10,N,N/A,,Trend
4/17/24,reoffer,win,"patient,scaredexit,norunners",25,Y,According,,Trend
4/17/24,"reoffer,aggression",loss,fomo,-10,Y,According,,Trend
4/17/24,"reoffer,aggression",loss,"fomo,unluckySL",-10,Y,According,Y (15),Trend
4/17/24,"reoffer,aggression",win,patient,15,Y,According,,Trend
4/17/24,rebid,win,"patient,goodexit",0,N,N/A,,Trend
4/17/24,vpzone,loss,patient,-10,Y,According,,Trend
4/17/24,"vpzone,aggression",win,"patient,scaredexit,norunners",30,Y,According,,Trend
4/17/24,"absorption,exhaustion,aggression",win,"patient,scaredexit,norunners",30,Y,Against,,Trend
4/18/24,"stoprunreversal,vpzone",loss,patient,-10,Y,According,,Trend
4/18/24,"reoffer,exhaustion",loss,patient,-10,Y,According,,Trend
4/18/24,"reoffer,exhaustion",loss,fomo,-10,Y,According,,Trend
4/18/24,rebid,loss,"fomo,contextmistake",-10,N,N/A,,Trend
4/18/24,"rebid,vpzone,aggression",win,"patient,goodexit",50,N,N/A,,Trend
4/19/24,"""N/A""",loss,fomo,-10,N,N/A,,Trend
4/19/24,"""N/A""",loss,fomo,-10,N,N/A,,Trend
4/19/24,"""N/A""",loss,fomo,-10,N,N/A,,Trend
4/19/24,"vpzone,absorption",win,"goodexit,unluckySL",0,Y,N/A,Y (15),Trend
4/19/24,rebid,win,goodexit,0,Y,N/A,,Trend
4/19/24,reoffer,loss,"patient,unluckySL",-10,Y,N/A,Y (15),Trend
4/22/24,"absorption,aggression,openingdrive",win,N/A,5,Y,According,,Range
4/22/24,"absorption,aggression,openingdrive",win,goodexit,5,Y,According,,Range
4/22/24,"absorption,aggression,openingdrive",loss,N/A,-10,Y,According,,Range
4/22/24,"""N/A""",loss,N/A,-10,Y,According,,Range
4/22/24,"""N/A""",loss,N/A,-10,Y,According,,Range
4/22/24,"absorption,aggression,openingdrive",loss,patient,-10,Y,According,,Range
4/22/24,"reoffer,vpzone",win,"patient,goodexit",30,Y,According,,Range
4/23/24,"absorption,vpzone",loss,patient,-10,Y,According,,Trend
4/23/24,absorption,loss,patient,-10,Y,According,,Trend
4/24/24,"ONHF,tapeweakness",loss,N/A,-10,Y,According,Y (15),Trend
4/24/24,"ONHF,tapeweakness",loss,N/A,-10,Y,According,Y (15),Trend
4/24/24,"""N/A""",loss,fomo,-10,N,N/A,,Trend
4/24/24,reoffer,loss,patient,-10,Y,According,,Trend
4/24/24,reoffer,win,patient,30,Y,According,,Trend
4/26/24,absorption,loss,patient,-10,Y,According,,"LargeGapUp,Trend"
4/26/24,reoffer,loss,patient,-10,Y,According,,"LargeGapUp,Trend"
4/26/24,"structureshift,aggression",loss,patient,-10,N,N/A,,"LargeGapUp,Trend"